mesh_size,h_max,triangle_count,optimal_epsilon,optimal_error,epsilon_h_ratio
0.500000,0.645752,154,0.417949,4.061035e-01,0.6472
0.400000,1.000549,198,0.407692,3.771360e-01,0.4075
0.300000,0.508083,380,0.346154,2.803143e-01,0.6813
0.200000,0.298248,820,0.305128,1.955437e-01,1.0231
0.150000,0.195447,1372,0.264103,1.619958e-01,1.3513
0.100000,0.171965,3166,0.223077,1.097502e-01,1.2972
0.080000,0.140824,4940,0.202564,8.945942e-02,1.4384
0.050000,0.075135,12180,0.171795,5.887673e-02,2.2865
