mesh_size,h_max,triangle_count,optimal_epsilon,optimal_error,epsilon_h_ratio
0.120000,0.190162,2286,0.243590,1.297400e-01,1.2810
0.110000,0.170937,2612,0.233333,1.211958e-01,1.3650
0.130000,0.180981,1958,0.253846,1.359530e-01,1.4026
0.140000,0.255184,1642,0.264103,1.555713e-01,1.0350
0.100000,0.171965,3166,0.223077,1.097502e-01,1.2972
0.150000,0.195447,1372,0.264103,1.619958e-01,1.3513
0.160000,0.298794,1258,0.274359,1.746595e-01,0.9182
0.170000,0.224618,1142,0.284615,1.741761e-01,1.2671
0.180000,0.261197,1012,0.284615,1.946066e-01,1.0897
0.200000,0.304175,800,0.294872,2.031455e-01,0.9694
0.190000,0.259171,914,0.294872,1.916348e-01,1.1378
0.230000,0.439387,626,0.315385,2.318477e-01,0.7178
0.210000,0.330060,714,0.305128,2.145702e-01,0.9245
0.220000,0.411375,710,0.305128,2.105775e-01,0.7417
0.250000,0.391358,540,0.325641,2.308071e-01,0.8321
0.260000,0.323419,536,0.325641,2.481956e-01,1.0069
0.240000,0.304373,612,0.315385,2.218132e-01,1.0362
0.290000,0.594727,388,0.346154,2.735584e-01,0.5820
0.270000,0.656626,454,0.346154,2.495447e-01,0.5272
0.280000,0.396825,450,0.356410,2.533454e-01,0.8982
0.320000,0.536281,318,0.366667,3.047750e-01,0.6837
0.300000,0.508083,380,0.346154,2.803143e-01,0.6813
0.310000,0.474809,398,0.356410,2.639218e-01,0.7506
0.330000,0.536734,314,0.366667,2.957133e-01,0.6831
0.350000,0.512582,254,0.387179,3.164578e-01,0.7554
0.340000,0.427684,320,0.346154,3.112848e-01,0.8094
0.360000,0.483623,258,0.376923,3.422184e-01,0.7794
0.370000,0.589319,258,0.376923,3.183296e-01,0.6396
0.380000,0.574010,260,0.397436,3.276215e-01,0.6924
0.400000,1.000549,198,0.407692,3.771360e-01,0.4075
0.410000,0.860169,204,0.387179,3.609122e-01,0.4501
0.390000,0.699726,260,0.376923,3.272783e-01,0.5387
0.420000,0.860169,204,0.387179,3.609122e-01,0.4501
0.430000,1.000549,198,0.407692,3.771360e-01,0.4075
0.440000,1.000549,198,0.407692,3.771360e-01,0.4075
0.450000,0.645752,154,0.417949,4.061035e-01,0.6472
0.460000,0.652061,150,0.407692,3.859569e-01,0.6252
0.470000,0.645752,154,0.417949,4.061035e-01,0.6472
0.480000,0.645752,154,0.417949,4.061035e-01,0.6472
0.490000,0.645752,154,0.417949,4.061035e-01,0.6472
0.090000,0.129515,3798,0.212821,1.022744e-01,1.6432
0.080000,0.140824,4940,0.202564,8.945942e-02,1.4384
0.070000,0.096116,6224,0.192308,8.265338e-02,2.0008
0.060000,0.105876,8608,0.182051,6.822961e-02,1.7195
0.050000,0.075135,12180,0.171795,5.887673e-02,2.2865
