epsilon,L2_error
0.010000,29.161176
0.012743,29.161173
0.016238,29.159518
0.020691,29.079217
0.026367,28.077057
0.033598,23.787148
0.042813,18.454034
0.054556,15.590531
0.069519,10.830055
0.088587,6.272894
0.112884,4.069063
0.143845,2.969222
0.183298,2.271173
0.233572,1.875512
0.297635,1.860983
0.379269,2.355681
0.483293,3.509242
0.615848,5.578400
0.784760,8.972072
1.000000,13.847573
